S000001812	P0CE69
S000001891	P40965
S000001162	P25846
S000001766	P36143
S000003673	P47011
S000001679	P36015
S000001324	P40518
S000003676	P20433
S000004525	P53397
S000002810	P21595
S000002874	Q03306
S000005633	Q99188
S000004315	P53769
S000005779	Q08689
S000003088	P53131
S000001561	P36009
S000005294	P20095
S000001794	P15938
S000000440	P32783
S000001516	P36097
S000002490	P38961
S000000266	P38239
S000006382	P20053
S000003959	P32523
S000004617	P54781
S000001049	P10614
S000000883	P40054
S000001336	P40510
S000005218	P53839
S000003153	P53100
S000006034	Q02961
S000002399	P35688
S000002313	Q12175
S000000823	P40016
S000001747	P19145
S000003423	P06775
S000000273	P38085
S000001839	P43548
S000005875	P15380
S000006186	P53388
S000002916	P48813
S000005380	P38967
S000005214	P38971
S000003984	Q12372
S000006195	Q08986
S000000272	P38084
S000000789	P04817
S000000530	P25376
S000005212	P32487
S000002453	P41815
S000002369	P32837
S000001028	P38734
S000003287	P50276
S000001484	Q02196
S000003771	P08536
S000004505	Q03433
S000004132	P09368
S000002408	P32356
S000000205	P35172
S000005835	Q12420
S000004078	P39012
S000005878	P24719
S000001019	P33400
S000004402	Q06685
S000002881	Q03338
S000004033	P22217
S000003441	P22803
S000005462	Q12272
S000002712	P35176
S000001099	P23285
S000005311	P53728
S000000665	P25334
S000006009	Q02895
S000004644	Q04212
S000001838	P43547
S000000433	P38138
S000005067	P53920
S000003916	P47182
S000005275	P42884
S000002402	Q07747
S000000704	P25612
S000006331	Q06494
S000001800	P32583
S000004082	Q12325
S000000498	P38359
S000005495	Q08278
S000002411	P25301
S000003775	P47089
S000001688	P33418
S000001284	Q01852
S000001776	P36149
S000006219	Q12531
S000001485	P36108
S000005584	P50275
S000002258	Q12154
S000003420	P41695
S000003550	P47074
S000005552	P26449
S000000909	P40066
S000001721	P36110
S000003615	P47032
S000003983	Q12390
S000007243	O60200
S000005230	P53830
S000000136	P18414
S000000156	P34225
S000003176	P34164
S000000829	Q04739
S000005117	P53885
S000002830	P32578
S000001189	P38845
S000006233	Q12028
S000002876	Q03322
S000005533	Q12118
S000005722	P32875
S000005101	P53897
S000007496	Q9P305
S000005626	Q12289
S000006262	P32331
S000000308	P38087
S000003677	P14680
S000006332	Q06497
S000000732	P39953
S000001268	P40556
S000000126	P18239
S000006341	Q06506
S000000241	P23833
S000000228	P38072
S000004982	P28834
S000001310	P40527
S000000845	P39954
S000001000	P38750
S000005205	P50874
S000002507	Q03860
S000003151	P53102
S000004485	Q03718
S000006366	P54791
S000001680	P24004
S000002161	Q12158
S000000353	P38115
S000003413	P53299
S000002470	Q12156
S000004061	P19263
S000001515	P33417
S000000449	P38144
S000005831	Q08773
S000000072	P27636
S000001497	P34241
S000006217	Q12145
S000004422	Q00416
S000001500	P34243
S000004685	P30771
S000004772	Q12674
S000001292	P40318
S000004622	P50264
S000003542	P08678
S000003892	P32906
S000004047	Q12205
S000004860	P47912
S000005844	P30624
S000001271	P39002
S000000817	P39518
S000003180	P32912
S000006358	Q06449
S000002772	P40968
S000005930	Q12532
S000004185	P14743
S000001204	P38856
S000003473	P53309
S000001330	P32844
S000005895	P48581
S000006088	P14284
S000002673	Q05568
S000002232	Q07457
S000000145	P38191
S000002818	P32584
S000005188	P32911
S000006387	P14020
S000006148	P40350
S000006370	P10663
S000001150	P38817
S000002766	Q06336
S000002632	P02293
S000000098	P02294
S000005496	Q12471
S000003679	P39515
S000003455	P50079
S000004165	P33322
S000005236	P48567
S000000033	P39730
S000002539	Q03900
S000001847	P43556
S000007253	O14467
S000005008	P25491
S000005021	P53940
